Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,390947,6653664,17.019350449037848,Original
This Song,240987,3630187,15.063829169208297,Original
Actor,217340,3239589,14.905627128002209,Original
Caramel,196738,2694437,13.69555957669591,Original
Eleven Eleven,169986,2859913,16.824403186144743,Original
Nauseous,165928,2510642,15.130912202883179,Original
My World,159041,2149521,13.515514867235492,Original
Romeo,148540,1841045,12.394270903460347,Original
Sunset Tower,129603,1789330,13.806239053108339,Original
The Best,129508,1560057,12.046028044599561,New
Connell,125990,1815597,14.410643701881101,Original
Care,124707,1907896,15.299028923797382,Original
Class Clown,123905,1561183,12.599838586013478,Original
Door,92126,680326,7.384733951327529,New
Moths,73222,904943,12.358894867662725,New
House That Always Rains,65149,600516,9.217578166971098,New
Do I Dare,64762,515596,7.961397115592477,New
